COBERTURA DROPI GENERAL CON RECUADO,,,,,
,,,,,
CODIGO POSTAL,ESTADO,ALCALDIA/MUNICIPIO,COLONIA,ESTADO,ALCALDIA/MUNICIPIO
20238,AGUASCALIENTES,AGUASCALIENTES,SANTA ELENA 2A SECCIÓN,,
20239,AGUASCALIENTES,AGUASCALIENTES,LA FUENTE,,
20240,AGUASCALIENTES,AGUASCALIENTES,EL ENCINO,,
20247,AGUASCALIENTES,AGUASCALIENTES,SAN FERNANDO INFONAVIT,,
20248,AGUASCALIENTES,AGUASCALIENTES,JARDINES DE TRIANA,,
20249,AGUASCALIENTES,AGUASCALIENTES,GÁMEZ,,
20250,AGUASCALIENTES,AGUASCALIENTES,JESÚS GÓMEZ PORTUGAL,,
20255,AGUASCALIENTES,AGUASCALIENTES,BONA GENS,,
20256,AGUASCALIENTES,AGUASCALIENTES,FOVISSSTE OJOCALIENTE I,,
20257,AGUASCALIENTES,AGUASCALIENTES,LÁZARO CÁRDENAS,,
20259,AGUASCALIENTES,AGUASCALIENTES,LA ESTACIÓN,,
20260,AGUASCALIENTES,AGUASCALIENTES,IV CENTENARIO,,
20263,AGUASCALIENTES,AGUASCALIENTES,AGUA CLARA,,
20264,AGUASCALIENTES,AGUASCALIENTES,MORELOS INFONAVIT,,
20265,AGUASCALIENTES,AGUASCALIENTES,OJO DE AGUA INFONAVIT,,
20266,AGUASCALIENTES,AGUASCALIENTES,JARDINES DEL SOL,,
20267,AGUASCALIENTES,AGUASCALIENTES,S.T.E.M.A.,,
20268,AGUASCALIENTES,AGUASCALIENTES,FUENTES DE LA ASUNCIÓN,,
20269,AGUASCALIENTES,AGUASCALIENTES,JARDINES DE LA LUZ,,
20270,AGUASCALIENTES,AGUASCALIENTES,MESONERO,,
20276,AGUASCALIENTES,AGUASCALIENTES,JARDINES DE LAS BUGAMBILIAS,,
20277,AGUASCALIENTES,AGUASCALIENTES,PIRÁMIDES,,
20278,AGUASCALIENTES,AGUASCALIENTES,JARDINES DE LAS FUENTES,,
20280,AGUASCALIENTES,AGUASCALIENTES,SAN PEDRO,,
20283,AGUASCALIENTES,AGUASCALIENTES,KERARTA,,
20284,AGUASCALIENTES,AGUASCALIENTES,LA CASITA,,
20285,AGUASCALIENTES,AGUASCALIENTES,VERSALLES 1A SECCIÓN,,
20286,AGUASCALIENTES,AGUASCALIENTES,BOSQUE REAL,,
20287,AGUASCALIENTES,AGUASCALIENTES,INSURGENTES,,
20288,AGUASCALIENTES,AGUASCALIENTES,BULEVARES 1A. SECCIÓN,,
20289,AGUASCALIENTES,AGUASCALIENTES,PILAR BLANCO INFONAVIT,,
20290,AGUASCALIENTES,AGUASCALIENTES,CIUDAD INDUSTRIAL,,
20296,AGUASCALIENTES,AGUASCALIENTES,RÚSTICOS CALPULLI,,
20297,AGUASCALIENTES,AGUASCALIENTES,CASA BLANCA,,
20298,AGUASCALIENTES,AGUASCALIENTES,EMILIANO ZAPATA,,
20299,AGUASCALIENTES,AGUASCALIENTES,LOMAS DEL AJEDREZ,,
20310,AGUASCALIENTES,AGUASCALIENTES,LOS NEGRITOS,,
20313,AGUASCALIENTES,AGUASCALIENTES,CUAUHTÉMOC (LAS PALOMAS),,
20314,AGUASCALIENTES,AGUASCALIENTES,EL CARIÑÁN,,
20320,AGUASCALIENTES,AGUASCALIENTES,ESTACIÓN CAÑADA HONDA,,
20323,AGUASCALIENTES,AGUASCALIENTES,SANTA MARÍA DE GALLARDO,,
20326,AGUASCALIENTES,AGUASCALIENTES,LORETTA,,
20328,AGUASCALIENTES,AGUASCALIENTES,LOS FRESNOS,,
20329,AGUASCALIENTES,AGUASCALIENTES,PRIVADA ANDALUZ,,
20340,AGUASCALIENTES,AGUASCALIENTES,PARQUE INDUSTRIAL DE LOGÍSTICA AUTOMOTRIZ (PILA),,
20342,AGUASCALIENTES,AGUASCALIENTES,SAN FRANCISCO,,
20344,AGUASCALIENTES,AGUASCALIENTES,LA RINCONADA (LA ESCONDIDA),,
20345,AGUASCALIENTES,AGUASCALIENTES,MONTORO (MESA DEL SALTO),,
20346,AGUASCALIENTES,AGUASCALIENTES,LOS CAÑOS,,
20348,AGUASCALIENTES,AGUASCALIENTES,SAN ANTONIO DE PEÑUELAS,,
20363,AGUASCALIENTES,AGUASCALIENTES,SAN ANTONIO DE LOS PEDROZA,,
20364,AGUASCALIENTES,AGUASCALIENTES,SAN NICOLÁS DE ARRIBA,,
20366,AGUASCALIENTES,AGUASCALIENTES,LA HERRADA,,
20367,AGUASCALIENTES,AGUASCALIENTES,2 DE OCTUBRE,,
20369,AGUASCALIENTES,AGUASCALIENTES,EL MALACATE,,
20370,AGUASCALIENTES,AGUASCALIENTES,PUERTO DE NIETO,,
20372,AGUASCALIENTES,AGUASCALIENTES,CABECITA 3 MARÍAS (RANCHO NUEVO),,
20375,AGUASCALIENTES,AGUASCALIENTES,EL TANQUE DE LOS JIMÉNEZ,,
20386,AGUASCALIENTES,AGUASCALIENTES,EL DURAZNILLO,,
20389,AGUASCALIENTES,AGUASCALIENTES,LOS DURÓN,,
20392,AGUASCALIENTES,AGUASCALIENTES,CAMPESTRE EL POTRERILLO,,
20393,AGUASCALIENTES,AGUASCALIENTES,PARQUE INDUSTRIAL FINSA AGUASCALIENTES,,
20395,AGUASCALIENTES,AGUASCALIENTES,COTORINA (COYOTES),,
20396,AGUASCALIENTES,AGUASCALIENTES,EL REFUGIO DE PEÑUELAS,,
20016,AGUASCALIENTES,AGUASCALIENTES,FUNDICIÓN II,,
20016,AGUASCALIENTES,AGUASCALIENTES,LOS SAUCES,,
20018,AGUASCALIENTES,AGUASCALIENTES,LÍNEA DE FUEGO,,
20020,AGUASCALIENTES,AGUASCALIENTES,BUENOS AIRES,,
20020,AGUASCALIENTES,AGUASCALIENTES,CIRCUNVALACIÓN NORTE,,
20020,AGUASCALIENTES,AGUASCALIENTES,LAS ARBOLEDAS,,
20020,AGUASCALIENTES,AGUASCALIENTES,VILLAS DE SAN FRANCISCO,,
20029,AGUASCALIENTES,AGUASCALIENTES,VILLAS DE LA UNIVERSIDAD,,
20030,AGUASCALIENTES,AGUASCALIENTES,EL SOL,,
20030,AGUASCALIENTES,AGUASCALIENTES,GREMIAL,,
20030,AGUASCALIENTES,AGUASCALIENTES,INDUSTRIAL,,
20040,AGUASCALIENTES,AGUASCALIENTES,ALTAVISTA,,
20040,AGUASCALIENTES,AGUASCALIENTES,CURTIDORES,,
20040,AGUASCALIENTES,AGUASCALIENTES,LA CONCORDIA,,
20040,AGUASCALIENTES,AGUASCALIENTES,MIRAVALLE,,
20040,AGUASCALIENTES,AGUASCALIENTES,PANORAMA,,
20040,AGUASCALIENTES,AGUASCALIENTES,RESIDENCIAL GUADALUPE,,
20049,AGUASCALIENTES,AGUASCALIENTES,COLINAS DEL PONIENTE,,
20050,AGUASCALIENTES,AGUASCALIENTES,BUGAMBILIAS,,
20050,AGUASCALIENTES,AGUASCALIENTES,DEL CARMEN,,
20050,AGUASCALIENTES,AGUASCALIENTES,LA FE,,
20050,AGUASCALIENTES,AGUASCALIENTES,PRIMAVERA,,
20050,AGUASCALIENTES,AGUASCALIENTES,SAN PABLO,,
20059,AGUASCALIENTES,AGUASCALIENTES,GUADALUPE,,
20059,AGUASCALIENTES,AGUASCALIENTES,HELIODORO GARCIA,,
20060,AGUASCALIENTES,AGUASCALIENTES,GÓMEZ,,
20060,AGUASCALIENTES,AGUASCALIENTES,MODERNO,,
20064,AGUASCALIENTES,AGUASCALIENTES,VALLE DEL RIO SAN PEDRO,,
20070,AGUASCALIENTES,AGUASCALIENTES,GUADALUPE POSADA,,
20070,AGUASCALIENTES,AGUASCALIENTES,SAN MARCOS,,
20070,AGUASCALIENTES,AGUASCALIENTES,SAN MARCOS,,
20078,AGUASCALIENTES,AGUASCALIENTES,SAN MARCOS,,
20080,AGUASCALIENTES,AGUASCALIENTES,MODELO,,
